Timestamp;Power
1726735487;3.420
1726735488;3.524
1726735489;4.262
1726735490;4.316
1726735491;3.617
1726735492;3.628
1726735493;3.594
1726735494;3.535
1726735495;3.815
1726735496;3.919
1726735497;3.887
1726735498;3.884
1726735499;3.875
1726735500;3.741
1726735501;4.299
1726735502;4.410
1726735503;3.570
1726735504;3.705
1726735505;4.149
1726735506;3.769
1726735507;3.740
1726735508;4.197
1726735509;4.324
1726735510;4.269
1726735511;4.251
1726735512;4.212
1726735513;4.248
1726735514;4.381
1726735515;3.667
1726735516;4.472
1726735517;4.576
1726735518;4.245
1726735519;4.575
1726735520;4.510
1726735521;4.514
1726735522;4.533
1726735523;4.594
1726735524;4.114
1726735525;4.349
1726735526;4.349
1726735527;4.013
1726735528;5.075
1726735529;4.946
1726735530;4.950
1726735531;4.928
1726735532;4.989
1726735533;5.019
1726735534;4.857
1726735535;5.089
1726735536;5.040
1726735537;4.316
1726735538;4.255
1726735539;4.246
1726735540;5.589
1726735541;5.274
1726735542;5.298
1726735543;5.296
1726735544;5.348
1726735545;5.377
1726735546;5.387
1726735547;5.323
1726735548;5.358
1726735549;4.514
1726735550;4.317
1726735551;4.487
1726735552;6.025
1726735553;5.739
1726735554;5.855
1726735555;5.807
1726735556;5.788
1726735557;5.756
1726735558;5.814
1726735559;5.867
1726735560;5.876
1726735561;4.627
1726735562;4.355
1726735563;4.605
1726735564;6.410
1726735565;6.074
1726735566;6.126
1726735567;6.119
1726735568;6.259
1726735569;6.154
1726735570;6.156
1726735571;6.236
1726735572;6.157
1726735573;4.882
1726735574;4.370
1726735575;4.593
1726735576;6.764
1726735577;6.556
1726735578;6.625
1726735579;6.654
1726735580;6.460
1726735581;6.395
1726735582;6.351
1726735583;6.390
1726735584;6.368
1726735585;5.079
1726735586;4.484
1726735587;4.716
1726735588;7.019
1726735589;6.960
1726735590;6.688
1726735591;6.614
1726735592;6.562
1726735593;6.540
1726735594;6.598
1726735595;6.507
1726735596;6.549
1726735597;5.425
1726735598;4.574
1726735599;4.592
1726735600;6.694
1726735601;6.897
1726735602;6.719
1726735603;6.678
1726735604;6.632
1726735605;6.449
1726735606;6.411
1726735607;6.615
1726735608;6.224
1726735609;5.864
1726735610;3.784
