Timestamp;Power
1726734202;2.881
1726734203;3.282
1726734204;3.351
1726734205;3.387
1726734206;3.309
1726734207;3.307
1726734208;3.204
1726734209;3.358
1726734210;3.396
1726734211;3.452
1726734212;4.040
1726734213;4.109
1726734214;3.211
1726734215;3.439
1726734216;3.450
1726734217;3.390
1726734218;3.405
1726734219;3.337
1726734220;3.395
1726734221;3.555
1726734222;3.569
1726734223;3.551
1726734224;3.538
1726734225;3.359
1726734226;3.328
1726734227;3.316
1726734228;3.331
1726734229;3.370
1726734230;3.288
1726734231;3.332
1726734232;3.365
1726734233;3.393
1726734234;3.393
1726734235;3.344
1726734236;3.342
1726734237;3.386
1726734238;3.386
1726734239;3.367
1726734240;3.321
1726734241;3.277
1726734242;3.358
1726734243;3.406
1726734244;3.918
1726734245;4.180
1726734246;3.488
1726734247;3.299
1726734248;3.306
1726734249;3.448
1726734250;3.905
1726734251;3.772
1726734252;3.487
1726734253;3.347
1726734254;3.321
1726734255;3.270
1726734256;3.611
1726734257;3.405
1726734258;3.315
1726734259;3.405
1726734260;3.383
1726734261;3.117
1726734262;2.980
1726734263;3.090
1726734264;3.203
1726734265;3.440
1726734266;3.353
1726734267;3.366
1726734268;3.272
1726734269;3.351
1726734270;3.143
1726734271;3.141
1726734272;3.334
1726734273;3.344
1726734274;3.404
1726734275;3.424
1726734276;3.866
1726734277;3.957
1726734278;3.765
1726734279;3.377
1726734280;3.528
1726734281;3.887
1726734282;3.593
1726734283;3.410
1726734284;3.346
1726734285;3.440
1726734286;3.449
1726734287;3.393
1726734288;3.554
1726734289;3.368
1726734290;3.331
1726734291;3.333
1726734292;3.353
1726734293;3.163
1726734294;3.377
1726734295;3.354
1726734296;3.362
1726734297;3.393
1726734298;3.330
1726734299;3.184
1726734300;3.138
1726734301;3.117
1726734302;3.092
1726734303;3.307
1726734304;3.325
1726734305;3.338
1726734306;3.371
1726734307;3.429
1726734308;3.742
1726734309;3.962
1726734310;3.826
1726734311;3.390
1726734312;3.946
1726734313;3.808
1726734314;3.812
1726734315;4.010
1726734316;3.987
1726734317;4.148
1726734318;4.072
1726734319;3.788
1726734320;3.568
1726734321;3.301
1726734322;3.285
1726734323;3.382
1726734324;3.375
1726734325;3.188
1726734326;3.314
1726734327;3.367
1726734328;3.370
1726734329;3.354
1726734330;3.376
1726734331;3.228
1726734332;3.327
1726734333;3.367
1726734334;3.376
1726734335;3.366
1726734336;3.336
1726734337;3.422
1726734338;3.445
1726734339;3.398
1726734340;3.697
1726734341;4.140
1726734342;3.961
1726734343;3.450
1726734344;4.286
1726734345;4.143
1726734346;4.230
1726734347;4.236
1726734348;3.667
1726734349;3.667
1726734350;3.750
1726734351;3.705
1726734352;3.743
1726734353;3.457
1726734354;3.458
1726734355;3.479
1726734356;3.409
1726734357;3.348
1726734358;3.442
1726734359;3.404
1726734360;3.438
1726734361;3.504
1726734362;3.391
1726734363;3.405
1726734364;3.419
1726734365;3.406
1726734366;3.392
1726734367;3.360
1726734368;3.352
1726734369;3.382
1726734370;3.392
1726734371;3.388
1726734372;3.481
1726734373;4.042
1726734374;4.102
1726734375;3.622
1726734376;4.493
1726734377;4.438
1726734378;4.469
1726734379;4.414
1726734380;4.360
1726734381;4.291
1726734382;4.274
1726734383;4.284
1726734384;3.801
1726734385;3.388
1726734386;3.387
1726734387;3.401
1726734388;3.336
1726734389;3.340
1726734390;3.164
1726734391;3.222
1726734392;3.132
1726734393;3.417
1726734394;3.460
1726734395;3.363
1726734396;3.381
1726734397;3.480
1726734398;3.186
1726734399;3.172
1726734400;3.134
1726734401;3.161
1726734402;3.365
1726734403;3.370
1726734404;3.308
1726734405;4.144
1726734406;4.245
1726734407;3.436
1726734408;4.385
1726734409;4.509
1726734410;4.545
1726734411;4.596
1726734412;4.578
1726734413;4.240
1726734414;4.619
1726734415;4.635
1726734416;4.443
1726734417;3.513
1726734418;3.457
1726734419;3.318
1726734420;3.251
1726734421;3.365
1726734422;3.451
1726734423;3.506
1726734424;3.406
1726734425;3.421
1726734426;3.264
1726734427;3.189
1726734428;3.131
1726734429;3.293
1726734430;3.460
1726734431;3.392
1726734432;3.392
1726734433;3.460
1726734434;3.368
1726734435;3.142
1726734436;3.401
1726734437;4.099
1726734438;4.325
1726734439;3.761
1726734440;4.935
1726734441;4.663
1726734442;4.625
1726734443;4.780
1726734444;4.814
1726734445;4.705
1726734446;4.677
1726734447;4.871
1726734448;4.598
1726734449;3.604
1726734450;3.421
1726734451;3.339
1726734452;3.146
1726734453;3.159
1726734454;3.393
1726734455;3.462
1726734456;3.453
1726734457;3.439
1726734458;3.437
1726734459;3.418
1726734460;3.482
1726734461;3.395
1726734462;3.421
1726734463;3.418
1726734464;3.370
1726734465;3.450
1726734466;3.668
1726734467;3.425
1726734468;3.439
1726734469;3.959
1726734470;4.197
1726734471;3.942
1726734472;5.111
1726734473;4.965
1726734474;5.012
1726734475;4.954
1726734476;4.910
1726734477;4.909
1726734478;4.907
1726734479;4.927
1726734480;4.799
1726734481;3.646
1726734482;3.415
1726734483;3.445
1726734484;3.421
1726734485;3.217
1726734486;3.408
1726734487;3.415
1726734488;3.475
1726734489;3.442
1726734490;3.411
1726734491;3.352
1726734492;3.397
1726734493;3.450
1726734494;3.446
1726734495;3.431
1726734496;3.276
1726734497;3.281
1726734498;3.345
1726734499;3.433
1726734500;3.465
1726734501;3.901
1726734502;4.006
1726734503;3.858
1726734504;5.306
1726734505;5.139
1726734506;5.132
1726734507;5.108
1726734508;5.104
1726734509;5.287
1726734510;5.340
1726734511;5.178
1726734512;5.172
1726734513;3.962
1726734514;3.467
1726734515;3.477
1726734516;3.610
1726734517;3.426
1726734518;3.468
1726734519;3.271
1726734520;3.319
1726734521;3.461
1726734522;3.548
1726734523;3.443
1726734524;3.441
1726734525;3.423
1726734526;3.231
1726734527;3.170
1726734528;3.335
1726734529;3.490
1726734530;3.547
1726734531;3.484
1726734532;3.441
1726734533;3.791
1726734534;4.112
1726734535;4.101
1726734536;5.531
1726734537;5.334
1726734538;5.359
1726734539;5.321
1726734540;5.292
1726734541;5.317
1726734542;5.247
1726734543;5.275
1726734544;5.340
1726734545;4.222
1726734546;3.497
1726734547;3.492
1726734548;3.527
1726734549;3.494
1726734550;3.435
1726734551;3.452
1726734552;3.487
1726734553;3.425
1726734554;3.274
1726734555;3.500
1726734556;3.417
1726734557;3.447
1726734558;3.531
1726734559;3.389
1726734560;3.177
1726734561;3.092
1726734562;3.064
1726734563;3.268
1726734564;3.487
1726734565;3.718
1726734566;4.120
1726734567;4.073
1726734568;5.630
1726734569;5.500
1726734570;5.571
1726734571;5.541
1726734572;5.552
1726734573;5.551
1726734574;5.500
1726734575;5.525
1726734576;5.532
1726734577;4.585
1726734578;3.511
1726734579;3.418
1726734580;3.546
1726734581;3.518
1726734582;3.552
1726734583;3.540
1726734584;3.384
1726734585;3.525
1726734586;3.439
1726734587;3.435
1726734588;3.498
1726734589;3.451
1726734590;3.234
1726734591;3.526
1726734592;3.582
1726734593;3.530
1726734594;3.473
1726734595;3.442
1726734596;3.256
1726734597;3.459
1726734598;4.167
1726734599;4.177
1726734600;5.664
1726734601;5.700
1726734602;5.775
1726734603;5.785
1726734604;5.689
1726734605;5.707
1726734606;5.692
1726734607;5.884
1726734608;5.684
1726734609;4.988
1726734610;3.528
1726734611;3.513
1726734612;3.497
1726734613;3.292
1726734614;3.344
1726734615;3.207
1726734616;3.226
1726734617;3.201
1726734618;3.456
1726734619;3.470
1726734620;3.429
1726734621;3.410
1726734622;3.340
1726734623;3.371
1726734624;3.633
1726734625;3.465
1726734626;3.451
1726734627;3.486
1726734628;3.365
1726734629;3.254
1726734630;4.173
1726734631;4.198
1726734632;5.621
1726734633;5.952
1726734634;5.915
1726734635;5.952
1726734636;5.925
1726734637;5.973
1726734638;5.964
1726734639;5.922
1726734640;5.960
1726734641;5.285
1726734642;3.609
1726734643;3.521
1726734644;3.496
1726734645;3.364
1726734646;3.536
1726734647;3.459
1726734648;3.459
1726734649;3.494
1726734650;3.454
1726734651;3.293
1726734652;3.302
1726734653;3.428
1726734654;3.553
1726734655;3.533
1726734656;3.474
1726734657;3.427
1726734658;3.373
1726734659;3.201
1726734660;3.266
1726734661;3.252
1726734662;4.155
1726734663;4.403
1726734664;5.389
1726734665;6.184
1726734666;6.157
1726734667;6.115
1726734668;6.037
1726734669;6.151
1726734670;6.136
1726734671;6.166
1726734672;6.181
1726734673;5.688
1726734674;3.709
1726734675;3.521
1726734676;3.498
1726734677;3.297
1726734678;3.115
1726734679;3.264
1726734680;3.271
1726734681;3.402
1726734682;3.405
1726734683;3.492
1726734684;3.544
1726734685;3.532
1726734686;3.248
1726734687;3.260
1726734688;3.186
1726734689;3.233
1726734690;3.445
1726734691;3.473
1726734692;3.463
1726734693;3.547
1726734694;4.144
1726734695;4.249
1726734696;5.247
1726734697;6.358
1726734698;6.303
1726734699;6.254
1726734700;6.302
1726734701;6.393
1726734702;6.408
1726734703;6.420
1726734704;6.399
1726734705;6.447
1726734706;3.817
1726734707;3.574
1726734708;3.591
1726734709;3.529
1726734710;3.375
1726734711;3.335
1726734712;3.491
1726734713;3.568
1726734714;3.604
1726734715;3.538
1726734716;3.526
1726734717;3.371
1726734718;3.346
1726734719;3.232
1726734720;3.307
1726734721;3.514
1726734722;3.529
1726734723;3.540
1726734724;3.508
1726734725;3.505
1726734726;3.965
1726734727;4.349
1726734728;5.092
1726734729;6.647
1726734730;6.497
1726734731;6.536
1726734732;6.556
1726734733;6.587
1726734734;6.618
1726734735;6.654
1726734736;6.558
1726734737;6.592
1726734738;4.336
1726734739;3.540
1726734740;3.526
1726734741;3.317
1726734742;3.147
1726734743;3.439
1726734744;3.610
1726734745;3.667
1726734746;3.678
1726734747;3.544
1726734748;3.650
1726734749;3.601
1726734750;3.558
1726734751;3.513
1726734752;3.510
1726734753;3.501
1726734754;3.279
1726734755;3.437
1726734756;3.530
1726734757;3.557
1726734758;3.897
1726734759;4.176
1726734760;4.826
1726734761;6.785
1726734762;6.710
1726734763;6.712
1726734764;6.752
1726734765;6.765
1726734766;6.766
1726734767;6.827
1726734768;6.755
1726734769;6.755
1726734770;4.917
1726734771;3.604
1726734772;3.616
1726734773;3.520
1726734774;3.547
1726734775;3.524
1726734776;3.482
1726734777;3.633
1726734778;3.599
1726734779;3.640
1726734780;3.527
1726734781;3.356
1726734782;3.243
1726734783;3.468
1726734784;3.712
1726734785;3.505
1726734786;3.567
1726734787;3.638
1726734788;3.536
1726734789;3.582
1726734790;3.773
1726734791;4.348
1726734792;4.515
1726734793;6.648
1726734794;6.880
1726734795;6.933
1726734796;6.902
1726734797;6.955
1726734798;6.951
1726734799;6.892
1726734800;6.922
1726734801;6.919
1726734802;5.423
1726734803;3.813
1726734804;3.740
1726734805;3.752
1726734806;3.757
1726734807;3.604
1726734808;3.554
1726734809;3.628
1726734810;3.579
1726734811;3.612
1726734812;3.620
1726734813;3.570
1726734814;3.599
1726734815;3.554
1726734816;3.639
1726734817;3.613
1726734818;3.575
1726734819;3.330
1726734820;3.511
1726734821;3.546
1726734822;3.615
1726734823;4.299
1726734824;4.397
1726734825;6.523
1726734826;7.002
1726734827;7.036
1726734828;7.027
1726734829;7.056
1726734830;7.083
1726734831;7.097
1726734832;7.120
1726734833;7.122
1726734834;5.916
1726734835;3.641
1726734836;3.585
1726734837;3.614
1726734838;3.633
1726734839;3.818
1726734840;3.636
1726734841;3.295
1726734842;3.292
1726734843;3.309
1726734844;3.500
1726734845;3.609
1726734846;3.528
1726734847;3.569
1726734848;3.554
1726734849;3.396
1726734850;3.257
1726734851;3.317
1726734852;3.543
1726734853;3.523
1726734854;3.532
