Date,CPU Utilization,Total Power,CPU Power,GPU Power
2024-09-26 10:25:21,0.12677231025855,28.68818999999974,14.30818999999974,14.38000000000000
2024-09-26 10:25:22,0.11853088480801,33.55596000000106,20.03596000000107,13.52000000000000
2024-09-26 10:25:23,0.08403361344538,33.52834600000220,19.41834600000220,14.11000000000000
2024-09-26 10:25:24,0.08020050125313,32.50090699999870,18.54090699999870,13.96000000000000
2024-09-26 10:25:26,0.08801341156748,33.48577099999922,19.21577099999922,14.27000000000000
2024-09-26 10:25:27,0.07582139848357,32.93910199999897,18.62910199999897,14.31000000000000
2024-09-26 10:25:28,0.08564231738035,33.50586199999976,19.24586199999976,14.26000000000000
2024-09-26 10:25:29,0.07879295892707,33.19114600000219,18.91114600000219,14.28000000000000
2024-09-26 10:25:30,0.08494533221194,33.27124999999927,19.08124999999927,14.19000000000000
2024-09-26 10:25:31,0.08110367892977,32.58593700000041,18.44593700000041,14.14000000000000
2024-09-26 10:25:32,0.08417508417508,33.07147500000224,18.81147500000225,14.26000000000000
2024-09-26 10:25:33,0.07788944723618,32.46760799999771,18.15760799999771,14.31000000000000
2024-09-26 10:25:34,0.08487394957983,33.14607400000124,19.02607400000124,14.12000000000000
2024-09-26 10:25:35,0.07563025210084,32.84029599999921,18.79029599999922,14.05000000000000
2024-09-26 10:25:36,0.08340353833193,33.72592900000032,19.56592900000032,14.16000000000000
2024-09-26 10:25:37,0.07795473595977,33.03244899999859,18.87244899999860,14.16000000000000
2024-09-26 10:25:38,0.08648194794291,33.62301400000244,19.45301400000244,14.17000000000000
2024-09-26 10:25:39,0.07949790794979,32.48448700000008,18.33448700000008,14.15000000000000
2024-09-26 10:25:41,0.08724832214765,33.71588499999809,19.39588499999809,14.32000000000000
2024-09-26 10:25:42,0.07563025210084,32.72839500000119,18.52839500000118,14.20000000000000
2024-09-26 10:25:43,0.08870292887029,33.56978700000109,19.26978700000109,14.30000000000000
2024-09-26 10:25:44,0.07782426778243,32.55880600000033,18.19880600000033,14.36000000000000
2024-09-26 10:25:45,0.08953974895397,33.48196000000040,19.37196000000040,14.11000000000000
2024-09-26 10:25:46,0.07802013422819,32.98836800000281,18.68836800000281,14.30000000000000
2024-09-26 10:25:47,0.08724832214765,33.60626000000106,19.21626000000106,14.39000000000000
2024-09-26 10:25:48,0.08020050125313,32.71350500000131,18.45350500000131,14.26000000000000
2024-09-26 10:25:49,0.08786610878661,33.29830600000001,19.18830600000001,14.11000000000000
2024-09-26 10:25:50,0.07556675062972,32.87901499999847,18.53901499999847,14.34000000000000
2024-09-26 10:25:51,0.08633696563286,33.39159200000082,19.18159200000082,14.21000000000000
2024-09-26 10:25:53,0.01167639699750,20.64230600000185,8.07230600000184,12.57000000000000
2024-09-26 10:25:54,0.01085141903172,19.34446099999826,7.40446099999826,11.94000000000000
2024-09-26 10:25:55,0.00083472454090,18.38216099999990,6.48216099999991,11.90000000000000
2024-09-26 10:25:56,0.01167639699750,19.30754499999937,7.37754499999937,11.93000000000000
2024-09-26 10:25:57,0.00000000000000,18.32093099999984,6.47093099999984,11.85000000000000
2024-09-26 10:25:58,0.01167639699750,19.19396300000226,7.39396300000226,11.80000000000000
2024-09-26 10:25:59,0.00083472454090,18.27310600000215,6.51310600000215,11.76000000000000
2024-09-26 10:26:00,0.01167639699750,19.34000499999951,7.40000499999951,11.94000000000000
2024-09-26 10:26:01,0.00333333333333,18.27939199999833,6.51939199999833,11.76000000000000
2024-09-26 10:26:02,0.06030150753769,25.09838499999765,12.18838499999765,12.91000000000000
2024-09-26 10:26:03,0.10972568578554,31.82008599999972,17.07008599999972,14.75000000000000
2024-09-26 10:26:04,0.11676396997498,32.52484699999855,17.76484699999855,14.76000000000000
2024-09-26 10:26:05,0.10292887029289,31.58219200000079,17.04219200000080,14.54000000000000
2024-09-26 10:26:06,0.11316010058676,32.63870099999927,18.02870099999927,14.61000000000000
2024-09-26 10:26:08,0.10526315789474,31.80036199999973,17.04036199999973,14.76000000000000
2024-09-26 10:26:09,0.11380753138075,32.83849400000050,18.12849400000050,14.71000000000000
2024-09-26 10:26:10,0.10159529806885,31.89201899999884,17.30201899999884,14.59000000000000
2024-09-26 10:26:11,0.11232187761945,32.63488800000108,17.99488800000108,14.64000000000000
2024-09-26 10:26:12,0.10067114093960,31.72805800000133,16.92805800000133,14.80000000000000
2024-09-26 10:26:13,0.11333333333333,32.70045799999804,17.64045799999803,15.06000000000000
2024-09-26 10:26:14,0.10217755443886,31.59574100000144,16.86574100000144,14.73000000000000
2024-09-26 10:26:15,0.10570469798658,32.36508799999909,17.38508799999909,14.98000000000000
2024-09-26 10:26:16,0.10944026733500,32.35170299999896,17.54170299999896,14.81000000000000
2024-09-26 10:26:17,0.10666666666667,31.85841300000305,17.16841300000306,14.69000000000000
2024-09-26 10:26:18,0.10924369747899,32.60641900000017,17.87641900000017,14.73000000000000
2024-09-26 10:26:20,0.09983221476510,31.56815200000026,17.08815200000026,14.48000000000000
2024-09-26 10:26:21,0.11306532663317,32.70603300000003,18.10603300000002,14.60000000000000
2024-09-26 10:26:22,0.10226320201174,32.21090200000094,17.47090200000093,14.74000000000000
2024-09-26 10:26:23,0.11222780569514,33.13826099999875,18.32826099999875,14.81000000000000
2024-09-26 10:26:24,0.10292887029289,31.63256400000042,16.92256400000042,14.71000000000000
2024-09-26 10:26:25,0.11361737677527,32.72308200000232,17.89308200000232,14.83000000000000
2024-09-26 10:26:26,0.10367892976589,31.90082299999922,17.20082299999922,14.70000000000000
