Timestamp;Power
1726742800;9.794
1726742801;10.197
1726742802;10.208
1726742803;10.194
1726742804;10.198
1726742805;10.198
1726742806;10.202
1726742807;10.193
1726742808;10.210
1726742809;10.193
1726742810;10.198
1726742811;10.205
1726742812;10.195
1726742813;10.196
1726742814;10.197
1726742815;10.195
1726742816;10.200
1726742817;10.205
1726742818;10.196
1726742819;10.205
1726742820;10.187
1726742821;10.203
1726742822;10.196
1726742823;10.210
1726742824;10.195
1726742825;10.198
1726742826;10.204
1726742827;10.192
1726742828;10.199
1726742829;10.199
1726742830;10.190
1726742831;10.199
1726742832;10.192
1726742833;10.201
1726742834;10.201
1726742835;10.195
1726742836;10.202
1726742837;10.196
1726742838;10.201
1726742839;10.192
1726742840;10.204
1726742841;10.205
1726742842;10.193
1726742843;10.193
1726742844;10.200
1726742845;10.193
1726742846;10.194
1726742847;10.201
1726742848;10.192
1726742849;10.201
1726742850;10.194
1726742851;10.198
1726742852;10.197
1726742853;10.194
1726742854;10.209
1726742855;10.202
1726742856;10.194
1726742857;10.204
1726742858;10.195
1726742859;10.202
1726742860;10.195
1726742861;10.195
