Timestamp;Power
1726742686;7.705
1726742687;8.029
1726742688;8.030
1726742689;8.036
1726742690;8.030
1726742691;8.027
1726742692;8.033
1726742693;8.031
1726742694;8.031
1726742695;8.029
1726742696;8.018
1726742697;8.040
1726742698;8.026
1726742699;8.036
1726742700;8.033
1726742701;8.022
1726742702;8.024
1726742703;8.028
1726742704;8.029
1726742705;8.032
1726742706;8.021
1726742707;8.036
1726742708;8.029
1726742709;8.021
1726742710;8.026
1726742711;8.034
1726742712;8.031
1726742713;8.029
1726742714;8.033
1726742715;8.026
1726742716;8.024
1726742717;8.025
1726742718;8.030
1726742719;8.024
1726742720;8.026
1726742721;8.030
1726742722;8.027
1726742723;8.032
1726742724;8.026
1726742725;8.018
1726742726;8.028
1726742727;8.028
1726742728;8.027
1726742729;8.030
1726742730;8.027
1726742731;8.031
1726742732;8.022
1726742733;8.028
