Timestamp;Power
1726742603;5.659
1726742604;5.898
1726742605;5.908
1726742606;5.910
1726742607;5.900
1726742608;5.909
1726742609;5.907
1726742610;5.886
1726742611;5.907
1726742612;5.900
1726742613;5.901
1726742614;5.906
1726742615;5.902
1726742616;5.898
1726742617;5.907
1726742618;5.902
1726742619;5.903
1726742620;5.899
1726742621;5.905
1726742622;5.912
1726742623;5.908
1726742624;5.921
1726742625;5.910
1726742626;5.907
1726742627;5.922
1726742628;5.918
1726742629;5.923
1726742630;5.913
1726742631;5.920
1726742632;5.921
1726742633;5.922
1726742634;5.913
1726742635;5.919
1726742636;5.917
1726742637;5.916
1726742638;5.920
1726742639;5.917
1726742640;5.914
1726742641;5.922
1726742642;5.918
1726742643;5.923
1726742644;5.923
1726742645;5.916
1726742646;5.922
1726742647;5.914
1726742648;5.919
1726742649;5.918
1726742650;5.933
1726742651;5.915
1726742652;5.917
1726742653;5.914
1726742654;5.920
1726742655;5.924
1726742656;5.922
1726742657;5.916
1726742658;5.925
1726742659;5.935
1726742660;5.921
1726742661;5.920
