Timestamp;Power
1726733239;27.657
1726733240;30.203
1726733241;31.845
1726733242;29.967
1726733243;31.357
1726733244;30.703
1726733245;31.227
1726733246;30.480
1726733247;30.131
1726733248;31.464
1726733249;30.396
1726733250;31.698
1726733251;30.526
1726733252;31.721
1726733253;29.968
1726733254;31.547
1726733255;30.263
1726733256;31.590
1726733257;29.730
1726733258;31.892
1726733259;30.376
1726733260;30.711
1726733261;30.809
1726733262;30.027
1726733263;31.596
1726733264;29.797
1726733265;31.541
1726733266;30.745
1726733267;31.592
1726733268;30.203
1726733269;31.260
1726733270;30.219
1726733271;31.281
1726733272;29.882
1726733273;32.233
1726733274;30.294
1726733275;30.722
1726733276;31.102
1726733277;29.977
1726733278;31.553
1726733279;30.004
1726733280;32.159
1726733281;30.246
1726733282;31.723
1726733283;30.186
1726733284;31.588
1726733285;30.293
1726733286;31.896
1726733287;30.822
1726733288;31.480
1726733289;30.203
1726733290;31.856
1726733291;29.941
1726733292;30.054
1726733293;31.366
1726733294;30.889
1726733295;31.757
1726733296;30.337
1726733297;31.424
1726733298;29.792
1726733299;32.904
1726733300;30.574
1726733301;32.036
1726733302;30.697
1726733303;31.628
1726733304;30.018
1726733305;31.626
1726733306;30.286
1726733307;30.997
1726733308;30.756
1726733309;30.528
1726733310;32.769
1726733311;31.066
1726733312;31.781
1726733313;30.324
1726733314;31.543
1726733315;30.210
1726733316;32.745
1726733317;30.204
1726733318;31.788
1726733319;30.319
1726733320;31.781
1726733321;29.926
1726733322;31.909
1726733323;30.810
1726733324;30.646
1726733325;31.560
1726733326;31.609
1726733327;31.772
1726733328;29.840
1726733329;31.696
1726733330;30.985
